               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/bishop_mAP,    metrics/King_mAP,    metrics/pawn_mAP,   metrics/Queen_mAP,    metrics/rook_mAP,  metrics/Knight_mAP,metrics/bishop_mAP_50, metrics/King_mAP_50, metrics/pawn_mAP_50,metrics/Queen_mAP_50, metrics/rook_mAP_50,metrics/Knight_mAP_50
                  20,            0.077996,            0.092596,            0.046414,             0.28276,            0.073937,            0.059713,            0.016894,            0.068885,             0.13015,            0.040596,            0.062288,           0.0032882,           0.0032882,                   0,            0.062787,           0.0036061,            0.034969,                   0,                   0,                   0,             0.16351,            0.009614,             0.18515,                   0,                   0
                  21,            0.075254,            0.082385,             0.04784,             0.60742,            0.042552,            0.047425,            0.021627,              0.0759,             0.13691,            0.039839,            0.060406,            0.003406,            0.003406,                   0,            0.085407,           0.0048225,            0.039531,                   0,                   0,                   0,             0.16716,            0.011426,             0.10597,                   0,                   0
                  22,            0.074545,            0.085617,            0.046687,             0.55746,            0.033418,            0.025204,            0.010572,            0.067846,             0.13007,            0.038815,             0.05852,           0.0035199,           0.0035199,                   0,            0.040859,           0.0038776,            0.018696,                   0,                   0,                   0,            0.093987,           0.0065091,             0.05073,                   0,                   0
                  23,            0.074612,            0.083774,            0.042621,             0.19807,             0.12156,            0.044024,            0.015447,            0.069311,             0.12546,            0.038185,             0.05663,           0.0036298,           0.0036298,                   0,            0.033228,           0.0051779,            0.054273,                   0,                   0,                   0,             0.10955,            0.012374,             0.14222,                   0,                   0
                  24,            0.077716,            0.065755,            0.047942,             0.20022,              0.2195,            0.054121,            0.025168,             0.06615,             0.11245,            0.038534,            0.054736,           0.0037358,           0.0037358,                   0,            0.053138,            0.039632,            0.058239,                   0,                   0,                   0,            0.098923,             0.12176,             0.10404,                   0,                   0
                  25,            0.074737,            0.062674,             0.04295,             0.90528,            0.071651,            0.069478,            0.022541,            0.068062,            0.098372,            0.038214,            0.052838,           0.0038378,           0.0038378,                   0,            0.024569,            0.084058,             0.02662,                   0,                   0,                   0,            0.065909,             0.29157,            0.059393,                   0,                   0
                  26,            0.068573,            0.087783,              0.0446,            0.035971,             0.24022,            0.062877,            0.032014,            0.070789,            0.091294,            0.038381,            0.050936,           0.0039358,           0.0039358,                   0,            0.037613,            0.090524,            0.063945,                   0,                   0,                   0,             0.09305,             0.16365,             0.12057,                   0,                   0
                  27,            0.067926,            0.073092,            0.046175,            0.035971,             0.24022,            0.062877,            0.032014,            0.070789,            0.091294,            0.038381,             0.04903,           0.0040299,           0.0040299,                   0,            0.037613,            0.090524,            0.063945,                   0,                   0,                   0,             0.09305,             0.16365,             0.12057,                   0,                   0
                  28,            0.067852,            0.059485,            0.045659,             0.85077,            0.087773,             0.11403,            0.034925,            0.061399,            0.081386,            0.038576,             0.04712,             0.00412,             0.00412,            0.010992,            0.040881,            0.085242,            0.072437,                   0,                   0,            0.054477,             0.10355,             0.35161,             0.17451,                   0,                   0
                  29,              0.0665,            0.063481,             0.04419,            0.050808,             0.24022,            0.082944,            0.040086,            0.072806,            0.089415,            0.039036,            0.045206,           0.0042061,           0.0042061,                   0,            0.036519,            0.089636,             0.11436,                   0,                   0,                   0,            0.059867,             0.26677,             0.17103,                   0,                   0
                  30,            0.069084,            0.070122,            0.044426,            0.050808,             0.24022,            0.082944,            0.040086,            0.072806,            0.089415,            0.039036,            0.043288,           0.0042883,           0.0042883,                   0,            0.036519,            0.089636,             0.11436,                   0,                   0,                   0,            0.059867,             0.26677,             0.17103,                   0,                   0
                  31,            0.069923,            0.068883,              0.0415,             0.85338,               0.225,             0.22873,            0.078061,            0.067275,            0.078064,            0.037931,            0.041367,           0.0043665,           0.0043665,             0.10916,            0.027189,             0.31189,            0.020119,                   0,                   0,             0.38201,            0.071999,             0.87444,            0.043936,                   0,                   0
                  32,            0.077561,            0.078915,            0.041937,             0.53848,             0.23037,            0.065136,            0.038443,            0.069398,            0.077179,            0.037481,            0.039441,           0.0044408,           0.0044408,           0.0048321,             0.11052,            0.078462,            0.036839,                   0,                   0,           0.0096309,             0.16286,             0.15418,            0.064146,                   0,                   0
                  33,            0.075164,            0.064968,            0.042675,             0.53848,             0.23037,            0.065136,            0.038443,            0.069398,            0.077179,            0.037481,            0.037511,           0.0045111,           0.0045111,           0.0048321,             0.11052,            0.078462,            0.036839,                   0,                   0,           0.0096309,             0.16286,             0.15418,            0.064146,                   0,                   0
                  34,            0.070161,            0.084542,            0.041081,             0.79496,               0.225,             0.21662,            0.074937,            0.053156,            0.071385,            0.037028,            0.035577,           0.0045775,           0.0045775,             0.14754,            0.072606,             0.20783,            0.021653,                   0,                   0,             0.41416,             0.12375,             0.71212,            0.049683,                   0,                   0
