               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/bishop_mAP,    metrics/King_mAP,    metrics/pawn_mAP,   metrics/Queen_mAP,    metrics/rook_mAP,  metrics/Knight_mAP,metrics/bishop_mAP_50, metrics/King_mAP_50, metrics/pawn_mAP_50,metrics/Queen_mAP_50, metrics/rook_mAP_50,metrics/Knight_mAP_50
                  19,            0.042844,            0.047541,            0.029935,             0.90747,             0.48874,             0.66608,             0.48389,            0.040784,            0.058145,            0.024417,            0.064307,           0.0033072,           0.0033072,              0.7978,             0.67569,             0.72196,            0.066663,            0.032016,             0.60918,               0.995,               0.995,               0.995,            0.097939,            0.072061,             0.84149
                  20,            0.051283,            0.068708,            0.033388,                0.92,             0.49934,             0.70215,             0.37649,            0.031969,            0.053066,            0.024199,            0.062444,            0.003444,            0.003444,             0.52649,              0.3964,             0.50318,             0.12685,             0.10859,             0.59746,               0.995,               0.995,             0.99334,               0.199,             0.16712,             0.86345
                  21,            0.045857,            0.058885,            0.034005,             0.87475,             0.50529,             0.70263,             0.36064,            0.042287,            0.055903,            0.024259,            0.060578,           0.0035776,           0.0035776,             0.42051,             0.55245,             0.59066,            0.059234,             0.11976,             0.42121,               0.995,               0.995,             0.98841,             0.13765,             0.23141,             0.86833
                  22,             0.04422,            0.063495,            0.033224,             0.89024,             0.51863,             0.71622,             0.41792,            0.035125,             0.05397,            0.023986,            0.058708,            0.003708,            0.003708,             0.52735,             0.66011,             0.53126,              0.1275,             0.15132,             0.50995,               0.995,               0.995,             0.95692,             0.22219,             0.23835,             0.88984
                  23,            0.045348,            0.063792,            0.029517,             0.92437,             0.48819,             0.72066,             0.48137,            0.036921,            0.054952,             0.02379,            0.056835,           0.0038352,           0.0038352,              0.6842,             0.63367,             0.65203,             0.10917,             0.15033,              0.6588,               0.995,               0.995,             0.96879,             0.21766,             0.24286,             0.90468
                  24,            0.045687,            0.046438,            0.035839,             0.92802,                 0.5,             0.71961,             0.47473,            0.036143,            0.056499,            0.023584,            0.054959,           0.0039592,           0.0039592,             0.58588,             0.74331,             0.62603,             0.10145,             0.18031,             0.61139,               0.995,               0.995,             0.99189,             0.17859,             0.23263,             0.92453
                  25,            0.047844,            0.046776,            0.029162,             0.88236,             0.51425,             0.69921,             0.41306,            0.042572,            0.056434,            0.023487,             0.05308,             0.00408,             0.00408,             0.57918,             0.40624,             0.68113,            0.025305,             0.11649,             0.67004,               0.995,               0.995,             0.99472,            0.038899,              0.2343,             0.93735
                  26,            0.045246,            0.065131,            0.032025,             0.81096,             0.56482,             0.68873,             0.31892,            0.044887,            0.058082,            0.023183,            0.051198,           0.0041976,           0.0041976,              0.3903,              0.5291,             0.43471,            0.080886,            0.042478,             0.43605,               0.995,               0.995,             0.96632,             0.17974,            0.069762,             0.92656
                  27,            0.050778,            0.056232,            0.034271,             0.81096,             0.56482,             0.68873,             0.31892,            0.044887,            0.058082,            0.023183,            0.049312,            0.004312,            0.004312,              0.3903,              0.5291,             0.43471,            0.080886,            0.042478,             0.43605,               0.995,               0.995,             0.96632,             0.17974,            0.069762,             0.92656
                  28,            0.046044,            0.041958,            0.035088,             0.85089,             0.51852,             0.66918,             0.34006,            0.045249,            0.059935,            0.022983,            0.047423,           0.0044232,           0.0044232,             0.44178,              0.6006,             0.49392,            0.048186,            0.023313,             0.43257,               0.995,               0.995,             0.98558,             0.12529,            0.045604,              0.8686
